StandardCode,StandardName,UrlLink
1,Network Engineer,https://www.gov.uk/government/publications/apprenticeship-standard-network-engineer
2,Software Developer,https://www.gov.uk/government/publications/apprenticeship-standard-software-developer
5,Installation Electrician/Maintenance Electrician,https://www.gov.uk/government/publications/apprenticeship-standard-installation-electricianmaintenance-electrician
6,Power Network Craftsperson,https://www.gov.uk/government/publications/apprenticeship-standard-power-network-craftsperson
7,Relationship Manager (Banking),https://www.gov.uk/government/publications/apprenticeship-standard-relationship-manager-banking
8,Financial Services Administrator,https://www.gov.uk/government/publications/apprenticeship-standard-financial-services-administrator
9,Control /Technical Support Engineer,https://www.gov.uk/government/publications/apprenticeship-standard-controltechnical-support-engineer
10,Electrical /Electronic Technical Support Engineer,https://www.gov.uk/government/publications/apprenticeship-standard-electricalelectronic-technical-support-engineer
11,Manufacturing Engineer,https://www.gov.uk/government/publications/apprenticeship-standard-manufacturing-engineer
12,Product Design and Development Engineer,https://www.gov.uk/government/publications/apprenticeship-standard-product-design-and-development-engineer
14,Laboratory Technician,https://www.gov.uk/government/publications/apprenticeship-standard-laboratory-technician
15,Science Manufacturing Technician,https://www.gov.uk/government/publications/apprenticeship-standard-science-manufacturing-technician
16,Food and Drink Maintenance Engineer,https://www.gov.uk/government/publications/apprenticeship-standard-food-and-drink-maintenance-engineer
17,Actuarial Technician,https://www.gov.uk/government/publications/apprenticeship-standard-actuarial-technician
18,Dental Technician,https://www.gov.uk/government/publications/apprenticeship-standard-dental-technician
19,Dental Laboratory Assistant,https://www.gov.uk/government/publications/apprenticeship-standard-dental-laboratory-assistant
20,Dental Practice Manager,https://www.gov.uk/government/publications/apprenticeship-standard-dental-practice-manager
21,Golf Greenkeeper,https://www.gov.uk/government/publications/apprenticeship-standard-golf-greenkeeper
22,Junior Journalist,https://www.gov.uk/government/publications/apprenticeship-standard-junior-journalist
23,Property Maintenance Operative,https://www.gov.uk/government/publications/apprenticeship-standard-property-maintenance-operative
24,Railway Engineering Design Technician,https://www.gov.uk/government/publications/apprenticeship-standard-railway-engineering-design-technician
25,Digital and Technology Solutions Professional,https://www.gov.uk/government/publications/apprenticeship-standard-digital-technology-solutions-professional
26,Dual Fuel Smart Meter Installer,https://www.gov.uk/government/publications/apprenticeship-standard-dual-fuel-smart-meter-installer
27,Water Process Technician,https://www.gov.uk/government/publications/apprenticeship-standard-water-process-technician
28,Financial Services Customer Adviser,https://www.gov.uk/government/publications/apprenticeship-standard-financial-services-customer-adviser
29,Investment Operations Administrator,https://www.gov.uk/government/publications/apprenticeship-standard-investment-operations-administrator
30,Investment Operations Specialist,https://www.gov.uk/government/publications/apprenticeship-standard-investment-operations-specialist
31,Senior Financial Services Customer Adviser,https://www.gov.uk/government/publications/apprenticeship-standard-senior-financial-services-customer-adviser
32,Workplace Pensions (Administrator or Consultant),https://www.gov.uk/government/publications/apprenticeship-standard-workplace-pensions-consultant-or-administrator
33,Investment Operations Technician,https://www.gov.uk/government/publications/apprenticeship-standard-investment-operations-technician
34,Able Seafarer (Deck),https://www.gov.uk/government/publications/apprenticeship-standard-able-seafarer-deck
35,Nuclear Welding Inspection Technician,https://www.gov.uk/government/publications/apprenticeship-standard-nuclear-welding-inspection-technician
36,Public Service Operational Delivery Officer,https://www.gov.uk/government/publications/apprenticeship-standard-operational-delivery-officer
37,Aerospace Engineer,https://www.gov.uk/government/publications/apprenticeship-standard-aerospace-engineer
38,Aerospace Software Development Engineer,https://www.gov.uk/government/publications/apprenticeship-standard-aerospace-software-development-engineer
39,Conveyancing Technician,https://www.gov.uk/government/publications/apprenticeship-standard-conveyancing-technician
40,Licensed Conveyancer,https://www.gov.uk/government/publications/apprenticeship-standard-licensed-conveyancer
41,Chartered Legal Executive,https://www.gov.uk/government/publications/apprenticeship-standard-chartered-legal-executive
42,Paralegal,https://www.gov.uk/government/publications/apprenticeship-standard-paralegal
43,Solicitor,https://www.gov.uk/government/publications/apprenticeship-standard-solicitor
44,Laboratory Scientist,https://www.gov.uk/government/publications/apprenticeship-standard-laboratory-scientist
45,Science Industry Maintenance Technician,https://www.gov.uk/government/publications/apprenticeship-standard-science-industry-maintenance-technician
46,Nuclear Health Physics Monitor,https://www.gov.uk/government/publications/apprenticeship-standard-nuclear-health-physics-monitor-standard
47,Nuclear Scientist and Nuclear Engineer,https://www.gov.uk/government/publications/apprenticeship-standard-nuclear-scientist-and-nuclear-engineer
48,Paraplanner,https://www.gov.uk/government/publications/apprenticeship-standard-paraplanner
49,Refrigeration Air Conditioning and Heat Pump Engineering Technician,https://www.gov.uk/government/publications/apprenticeship-standard-refrigeration-air-conditioning-heat-pump-engineering-technician
50,Chartered Surveyor,https://www.gov.uk/government/publications/apprenticeship-standard-chartered-surveyor
51,Surveying Technician,https://www.gov.uk/government/publications/apprenticeship-standard-surveying-technician
52,Systems Engineering Masters Level,https://www.gov.uk/government/publications/apprenticeship-standard-systems-engineering
53,Utilities Engineering Technician,https://www.gov.uk/government/publications/apprenticeship-standard-utilities-engineering-technician
54,Butcher,https://www.gov.uk/government/publications/apprenticeship-standard-butchery
55,Chartered Manager Degree Apprenticeship,https://www.gov.uk/government/publications/apprenticeship-standard-chartered-manager-degree-apprenticeship
57,Gas Network Craftsperson,https://www.gov.uk/government/publications/apprenticeship-standard-gas-network-craftsperson
58,Gas Network Team Leader,https://www.gov.uk/government/publications/apprenticeship-standard-gas-network-team-leader
59,Motor Vehicle Service and Maintenance Technician (light vehicle),https://www.gov.uk/government/publications/apprenticeship-standard-motor-vehicle-service-and-maintenance-technician-light-vehicle
60,Insurance Practitioner,https://www.gov.uk/government/publications/apprenticeship-standard-insurance-practitioner
61,Dental Nurse,https://www.gov.uk/government/publications/apprenticeship-standard-dental-nurse
62,Mortgage Adviser,https://www.gov.uk/government/publications/apprenticeship-standard-mortgage-adviser
63,Insurance Professional,https://www.gov.uk/government/publications/apprenticeship-standard-insurance-professional
64,Housing/Property Management Assistant,https://www.gov.uk/government/publications/apprenticeship-standard-housingproperty-management-assistant
65,Housing/Property Management,https://www.gov.uk/government/publications/apprenticeship-standard-housing-management
66,Senior Housing/Property Management,https://www.gov.uk/government/publications/apprenticeship-standard-senior-housingproperty-management
67,Non-destructive Testing Engineering Technician,https://www.gov.uk/government/publications/apprenticeship-standard-non-destructive-testing-engineering-technician
68,Junior Energy Manager,https://www.gov.uk/government/publications/apprenticeship-standard-junior-energy-manager
69,Land-Based Service Engineer,https://www.gov.uk/government/publications/apprenticeship-standard-land-based-service-engineer
70,Land-Based Service Engineering Technician,https://www.gov.uk/government/publications/apprenticeship-standard-land-based-service-engineering-technician
71,Live Event Rigger,https://www.gov.uk/government/publications/apprenticeship-standard-live-event-rigger
72,Bespoke Tailor and Cutter,https://www.gov.uk/government/publications/apprenticeship-standard-bespoke-tailor-and-cutter
73,Public Sector Commercial Professional,https://www.gov.uk/government/publications/apprenticeship-standard-public-sector-commercial-professional
74,Gas Engineering,https://www.gov.uk/government/publications/apprenticeship-standard-gas-engineering
